,models,data_num,acc
0,dkt,100,0.6140370183709052
1,dkt,200,0.6198406296208862
2,dkt,300,0.6435843144134649
3,dkt,400,0.6422067310424534
4,dkt,500,0.6409676979019105
5,dkt,600,0.6552192957780976
6,dkt,700,0.6624770242312674
7,dkt,800,0.6628456426132316
8,dkt,900,0.6680308083577751
9,dkt,1000,0.6776514578153389
10,dkt,1100,0.678651150059
11,dkt,1200,0.6792467856418618
12,dkt,1300,0.6822490365894882
13,dkt,1400,0.6829849789402223
14,dkt,1500,0.6959626469461836
15,dkt,1600,0.7036975155585456
16,dkt,1700,0.6944171964643264
17,dkt,1800,0.6945644972131004
18,dkt,1900,0.6950994605638469
19,dkt,2000,0.7009790293291951
20,dkt,2500,0.7019591268676485
21,dkt,3000,0.7105091166888666
22,dkt,3500,0.7107814820256323
23,dkt,4000,0.7148843751959066
24,dkt,4500,0.7097888002851078
25,dkt,5000,0.7170392287619758
26,dkt,5500,0.7190271081548143
27,dkt,6000,0.7183666959520192
28,dkt,6500,0.7189095775294068
29,dkt,7000,0.7200178610322121
30,dkt,7500,0.7229062545303535
31,dkt,8000,0.7214875251767978
32,dkt,8500,0.7233099105173174
33,dkt,9000,0.7217335512229305
34,dkt,9500,0.7220352453765168
35,dkt,10000,0.7222696921839575
36,dkt,10500,0.7242100501707155
37,dkt,11000,0.7223217096299479
38,dkt,11500,0.7232238076766045
39,dkt,12000,0.7234251364857057
40,dkt,12500,0.7256591509408051
41,dkt,13000,0.7256603567667429
42,dkt,13500,0.7244532998295353
43,dkt,14000,0.7255916592990279
44,dkt,14500,0.7260284732219022
45,dkt,15000,0.7265868667707831
46,dkt,15500,0.72585554194409
47,dkt,16000,0.7256850965125226
48,dkt,16500,0.7269290542800976
49,dkt,17000,0.7266625190528636
50,dkt,17500,0.7270860829244189
51,dkt,18000,0.7271729574280135
52,dkt,18500,0.7271223419743629
53,dkt,19000,0.7274337082374137
54,dkt,19500,0.7277854219439897
55,dkt,19917model_name,0.5731887007782024
56,dkvmn,200,0.647311054248475
57,dkvmn,300,0.6515558886366709
58,dkvmn,400,0.6612899191892154
59,dkvmn,500,0.6627434802883321
60,dkvmn,600,0.6744736882653382
61,dkvmn,700,0.6756938872945043
62,dkvmn,800,0.6875341002138318
63,dkvmn,900,0.6921799936062359
64,dkvmn,1000,0.6872186495637445
65,dkvmn,1100,0.6799835883790729
66,dkvmn,1200,0.6913787715482462
67,dkvmn,1300,0.7060951771652888
68,dkvmn,1400,0.6959650794406048
69,dkvmn,1500,0.6931016142711415
70,dkvmn,1600,0.6967766903869332
71,dkvmn,1700,0.6993634444312103
72,dkvmn,1800,0.7005090592029646
73,dkvmn,1900,0.7018389350210965
74,dkvmn,2000,0.7026613682621609
75,dkvmn,2500,0.7080590394534874
76,dkvmn,3000,0.7024622653186248
77,dkvmn,3500,0.7114670052505063
78,dkvmn,4000,0.7086121835707089
79,dkvmn,4500,0.7101402881032542
80,dkvmn,5000,0.7135974805848366
81,dkvmn,5500,0.7145045438642166
82,dkvmn,6000,0.7181720744954452
83,dkvmn,6500,0.7168767734471823
84,dkvmn,7000,0.7202989754673286
85,dkvmn,7500,0.7183429020754946
86,dkvmn,8000,0.7145336408836798
87,dkvmn,8500,0.7188758598995124
88,dkvmn,9000,0.7198773372316678
89,dkvmn,9500,0.7197162373271745
90,dkvmn,10000,0.7212075653542277
91,dkvmn,10500,0.7210199472999277
92,dkvmn,11000,0.7216540144154856
93,dkvmn,11500,0.7199421898500417
94,dkvmn,12000,0.7221108640583906
95,dkvmn,12500,0.7225527856348355
96,dkvmn,13000,0.7227475087735892
97,dkvmn,13500,0.7205533433726027
98,dkvmn,14000,0.7222545557460641
99,dkvmn,14500,0.721341309823188
100,dkvmn,15000,0.7225251902732616
101,dkvmn,15500,0.7221514404532009
102,dkvmn,16000,0.7226091929096334
103,dkvmn,16500,0.722047694764383
104,dkvmn,17000,0.7226119149384601
105,dkvmn,17500,0.7224726022597293
106,dkvmn,18000,0.7227441672814333
107,dkvmn,18500,0.7234624471103498
108,dkvmn,19000,0.7234565968660616
109,dkvmn,19500,0.7238162094453015
110,dkvmn,19917model_name,0.6410236883687658
111,sakt,200,0.6118228412799533
112,sakt,300,0.6596673701557482
113,sakt,400,0.6384172571623313
114,sakt,500,0.6566192869731413
115,sakt,600,0.6723422485653965
116,sakt,700,0.6803517801370191
117,sakt,800,0.6695551410125595
118,sakt,900,0.6765305973243662
119,sakt,1000,0.6872979717898581
120,sakt,1100,0.6825327354773596
121,sakt,1200,0.6885531959517615
122,sakt,1300,0.6948939911343434
123,sakt,1400,0.6845534705591912
124,sakt,1500,0.6897691735102615
125,sakt,1600,0.6863435536757025
126,sakt,1700,0.6824369879645594
127,sakt,1800,0.7008737339227613
128,sakt,1900,0.7013736087680947
129,sakt,2000,0.6963810325187779
130,sakt,2500,0.6995608056164718
131,sakt,3000,0.7039981161834991
132,sakt,3500,0.7042810585706153
133,sakt,4000,0.7114720309044167
134,sakt,4500,0.7132397245907016
135,sakt,5000,0.7156420818994127
136,sakt,5500,0.7117485698834969
137,sakt,6000,0.7162856766950924
138,sakt,6500,0.7176293023077143
139,sakt,7000,0.7189537386712572
140,sakt,7500,0.7160664687951239
141,sakt,8000,0.7180853903517788
142,sakt,8500,0.7193351741471311
143,sakt,9000,0.7216097510708425
144,sakt,9500,0.7196192551572111
145,sakt,10000,0.7212025781327547
146,sakt,10500,0.7215714331604091
147,sakt,11000,0.7216240645314114
148,sakt,11500,0.7222192941918323
149,sakt,12000,0.7227201258712485
150,sakt,12500,0.7231886285535014
151,sakt,13000,0.7243324348067846
152,sakt,13500,0.7239548201507382
153,sakt,14000,0.7247531628843442
154,sakt,14500,0.7262675019565801
155,sakt,15000,0.7251341492600903
156,sakt,15500,0.7254981570046556
157,sakt,16000,0.7252443767906409
158,sakt,16500,0.7244470411745227
159,sakt,17000,0.7250140548712909
160,sakt,17500,0.726408175107206
161,sakt,18000,0.7255385212349893
162,sakt,18500,0.7264303129784979
163,sakt,19000,0.7261182024148382
164,sakt,19500,0.7259990429922671
